date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,weather_code
2020-01-01 00:00:00+00:00,18.5,95,0.0,8.0,3
2020-01-01 01:00:00+00:00,19.5,90,0.0,6.8,1
2020-01-01 02:00:00+00:00,20.8,79,0.0,6.2,1
2020-01-01 03:00:00+00:00,22.2,69,0.0,5.6,2
2020-01-01 04:00:00+00:00,23.0,65,0.0,8.0,3
2020-01-01 05:00:00+00:00,22.4,69,0.0,8.5,3
2020-01-01 06:00:00+00:00,21.8,73,0.1,9.3,51
2020-01-01 07:00:00+00:00,21.2,79,0.6,9.0,53
2020-01-01 08:00:00+00:00,20.6,86,1.0,9.6,55
2020-01-01 09:00:00+00:00,20.3,88,0.7,9.0,53
2020-01-01 10:00:00+00:00,19.9,91,0.6,8.4,53
2020-01-01 11:00:00+00:00,19.8,93,0.3,7.3,51
2020-01-01 12:00:00+00:00,19.9,87,0.0,11.2,3
2020-01-01 13:00:00+00:00,19.5,89,0.0,8.7,1
2020-01-01 14:00:00+00:00,19.2,90,0.0,7.0,2
2020-01-01 15:00:00+00:00,18.9,92,0.0,5.8,2
2020-01-01 16:00:00+00:00,18.5,94,0.0,5.2,2
2020-01-01 17:00:00+00:00,18.5,94,0.0,4.4,3
2020-01-01 18:00:00+00:00,18.6,95,0.0,3.8,3
2020-01-01 19:00:00+00:00,18.9,95,0.0,2.1,3
2020-01-01 20:00:00+00:00,19.0,92,0.0,2.4,3
2020-01-01 21:00:00+00:00,19.0,93,0.0,3.3,3
2020-01-01 22:00:00+00:00,19.2,92,0.0,4.0,3
2020-01-01 23:00:00+00:00,19.3,92,0.0,6.1,3
2020-01-02 00:00:00+00:00,19.4,91,0.0,5.2,3
2020-01-02 01:00:00+00:00,20.1,88,0.0,7.5,3
2020-01-02 02:00:00+00:00,20.9,85,0.0,10.3,3
2020-01-02 03:00:00+00:00,21.9,82,0.0,9.5,3
2020-01-02 04:00:00+00:00,22.4,80,0.1,7.9,51
2020-01-02 05:00:00+00:00,23.0,78,0.2,8.4,51
2020-01-02 06:00:00+00:00,24.2,72,0.1,9.7,51
2020-01-02 07:00:00+00:00,25.2,66,0.1,10.1,51
2020-01-02 08:00:00+00:00,25.3,66,0.1,9.7,51
2020-01-02 09:00:00+00:00,25.4,65,0.0,11.0,3
2020-01-02 10:00:00+00:00,24.2,71,0.0,12.7,1
2020-01-02 11:00:00+00:00,22.8,77,0.0,13.0,1
2020-01-02 12:00:00+00:00,21.4,84,0.0,12.8,0
2020-01-02 13:00:00+00:00,20.6,87,0.0,11.5,0
2020-01-02 14:00:00+00:00,19.8,92,0.0,8.0,1
2020-01-02 15:00:00+00:00,19.4,95,0.0,6.6,1
2020-01-02 16:00:00+00:00,19.3,97,0.0,5.8,3
2020-01-02 17:00:00+00:00,19.8,95,0.0,8.1,3
2020-01-02 18:00:00+00:00,20.0,94,0.0,8.4,3
2020-01-02 19:00:00+00:00,19.9,95,0.0,7.7,3
2020-01-02 20:00:00+00:00,19.9,95,0.0,8.7,3
2020-01-02 21:00:00+00:00,19.9,95,0.1,9.7,51
2020-01-02 22:00:00+00:00,19.9,95,0.1,9.6,51
2020-01-02 23:00:00+00:00,19.9,94,0.1,10.1,51
2020-01-03 00:00:00+00:00,20.1,97,0.1,7.3,51
2020-01-03 01:00:00+00:00,20.5,93,0.2,8.6,51
2020-01-03 02:00:00+00:00,21.3,91,0.2,9.7,51
2020-01-03 03:00:00+00:00,22.0,87,0.2,7.9,51
2020-01-03 04:00:00+00:00,22.5,85,0.2,7.4,51
2020-01-03 05:00:00+00:00,23.0,81,0.1,9.6,51
2020-01-03 06:00:00+00:00,23.7,78,0.0,8.9,2
